ID,Nom,Email,Tel,Type,Web_site,FB,FB_nb_aderent,Twitter,Twitter_nb_aderent,Insta,Insta_nb_aderent,Youtube,Youtube_nb_aderent,Tiktok,Tiktok_nb_aderent,nb_adherent,Date_contact,Adresse_postal,Departement,Region,Pays,Accepte_com,Statut,Commentaire
577e9231,Bar à jeux Remercier,laurentbernard@example.com,02 97 06 01 93,Bar à jeux,http://coste.net/,https://petitjean.fr/,1743.0,https://godard.fr/,210.0,http://pasquier.org/,2752.0,,,,,,,"32, rue Maurice Maillot Toulouse",31,Occitanie,France,Oui,Intéressé,
d58e5151,Bar à jeux Désigner,francoiselebrun@example.com,+33 (0)1 81 27 55 14,Bar à jeux,https://www.collet.com/,http://gilles.fr/,938.0,https://www.ollivier.fr/,2630.0,,,,,,,,,"852, rue Hubert Blois",41,Centre-Val de Loire,France,Non,Intéressé,
0aa6de42,Asso jdr Humide,,0434310028,Asso jdr,https://baudry.com/,http://guillaume.fr/,798.0,,,,,,,,,188.0,,"736, boulevard de Reynaud Nantes",44,Pays de la Loire,France,Oui,Intéressé,
25b871e8,MJC Politique,charrierclaudine@example.org,0481699735,MJC,http://www.coulon.fr/,http://blanchet.org/,3472.0,,,https://levy.fr/,2821.0,,,,,279.0,2024-02-22,"905, chemin Ledoux Bellac",87,Nouvelle-Aquitaine,France,Oui,Contacté,
72eb6140,Asso jdr Permettre,ubrun@example.org,0535315739,Asso jdr,https://mercier.net/,http://lefort.org/,2381.0,http://lebreton.net/,1935.0,https://fernandez.com/,325.0,,,,,27.0,,"84, avenue Garcia Rodez",12,Occitanie,France,Non,Prospect,Espèce table quel seul et oncle commander.
f9a5117e,Influenceur En,adriennebenard@example.net,+33 4 67 36 88 91,Influenceur,http://www.bonneau.fr/,,,http://www.brunel.fr/,12523.0,https://www.goncalves.net/,3787.0,http://briand.fr/,3728.0,http://morvan.com/,54273.0,,2024-03-31,"663, rue Charles Maury Nanterre",92,Île-de-France,France,Oui,Contacté,
b7fff125,Ludothèque Cou,normandcharles@example.org,+33 (0)3 61 28 92 32,Ludothèque,http://www.joly.fr/,http://lebreton.com/,2182.0,,,https://renault.net/,1421.0,,,,,231.0,2024-01-06,"255, rue Céline Legendre La Flèche",72,Pays de la Loire,France,Oui,Contacté,Intérêt chacun humain lutter importance rentrer.
72c3ef21,Artisan Haute,blinaudrey@example.com,+33 3 90 45 21 93,Artisan,http://legendre.net/,https://www.toussaint.com/,1585.0,http://www.philippe.org/,588.0,https://bourgeois.net/,4325.0,,,,,,,"7, avenue de Andre Vendôme",41,Centre-Val de Loire,France,Oui,Prospect,
13af454a,Boutique spécialisée Bord,oribeiro@example.com,+33 (0)3 29 77 13 81,Boutique spécialisée,https://allain.fr/,http://www.renaud.com/,843.0,https://marechal.org/,1522.0,https://foucher.fr/,628.0,,,,,,,"41, rue de Roux Grenoble",38,Auvergne-Rhône-Alpes,France,Non,Prospect,
abd77ae4,Asso jdr Dehors,ucharpentier@example.com,04 66 12 80 79,Asso jdr,https://www.jacob.net/,https://www.martins.fr/,836.0,http://vincent.fr/,1184.0,,,,,,,48.0,,"27, boulevard de Joubert Morlaix",29,Bretagne,France,Non,Contacté,Ramasser chair prince disparaître.
1b1f2d8b,Editeur Secret,daniellegilles@example.net,05 61 19 70 39,Editeur,https://www.roche.com/,http://michel.org/,2137.0,https://www.masson.com/,561.0,https://www.pichon.org/,3295.0,https://www.vincent.org/,3548.0,,,,2025-10-07,"63, rue Catherine Muller Nancy",54,Grand Est,France,Oui,Intéressé,
bbb547a2,Médiathèque Camarade,zcaron@example.org,+33 (0)4 85 79 83 88,Médiathèque,https://chauveau.fr/,https://www.chretien.org/,3897.0,,,,,,,,,51.0,,"1, rue de Brunel Chaumont",52,Grand Est,France,Non,Intéressé,
163104e1,Médiathèque Valeur,,0628462422,Médiathèque,http://chauveau.com/,http://www.weber.net/,118.0,http://gaudin.org/,424.0,,,,,,,279.0,2025-04-13,"1, boulevard de Adam Briançon",05,Provence-Alpes-Côte d'Azur,France,Oui,Contacté,
63626da0,Ludothèque Passé,ferrandgerard@example.org,0188410269,Ludothèque,https://www.etienne.com/,http://www.weiss.com/,2504.0,,,,,,,,,44.0,,"9, boulevard de Chauvet Amiens",80,Hauts-de-France,France,Non,Prospect,Seuil seuil etc émotion public homme.
709253ed,Artisan Fauteuil,susan61@example.com,+33 4 71 02 22 23,Artisan,https://remy.com/,https://www.boucher.net/,2771.0,https://www.jourdan.fr/,1376.0,http://bodin.com/,4227.0,,,,,,2025-03-21,"24, boulevard de Perret Limoges",87,Nouvelle-Aquitaine,France,Oui,Intéressé,Devenir dehors tracer tout bon.
